timestamp,heart_rate,eda,temperature,subject_id,session,heart_rate_normalized,eda_normalized,temperature_normalized
2023-01-01 01:05:56,68.62,0.6792907499999999,30.5,S4,Midterm 2,0.3296606864274571,0.09430240449764596,0.7632809179770506
2023-01-01 01:05:57,68.43,0.6773687500000001,30.5,S4,Midterm 2,0.32873439937597504,0.09403558322642379,0.7632809179770506
2023-01-01 01:05:58,68.27,0.6719237499999999,30.51,S4,Midterm 2,0.32795436817472695,0.09327968217449617,0.7637059073523162
2023-01-01 01:05:59,68.12,0.662635,30.51,S4,Midterm 2,0.32722308892355695,0.09199017328632493,0.7637059073523162
2023-01-01 01:06:00,67.77,0.65494825,30.51,S4,Midterm 2,0.3255167706708268,0.09092306173243983,0.7637059073523162
2023-01-01 01:06:01,67.48,0.65719025,30.51,S4,Midterm 2,0.32410296411856476,0.09123430694059807,0.7637059073523162
2023-01-01 01:06:02,67.25,0.65687,30.520000000000003,S4,Midterm 2,0.3229816692667707,0.09118984829746128,0.7641308967275819
2023-01-01 01:06:03,67.05,0.6571899999999999,30.53,S4,Midterm 2,0.3220066302652106,0.09123427223439734,0.7645558861028475
2023-01-01 01:06:04,66.75,0.653667,30.53,S4,Midterm 2,0.32054407176287053,0.09074519245369195,0.7645558861028475
2023-01-01 01:06:05,66.47,0.6479017499999999,30.53,S4,Midterm 2,0.3191790171606864,0.08994483275862757,0.7645558861028475
2023-01-01 01:06:06,66.23,0.6421365,30.54,S4,Midterm 2,0.31800897035881437,0.0891444730635632,0.764980875478113
2023-01-01 01:06:07,66.08,0.6366915,30.55,S4,Midterm 2,0.3172776911076443,0.0883885720116356,0.7654058648533787
2023-01-01 01:06:08,65.95,0.6312465,30.55,S4,Midterm 2,0.31664391575663026,0.08763267095970802,0.7654058648533787
2023-01-01 01:06:09,65.75,0.6280435,30.55,S4,Midterm 2,0.3156688767550702,0.08718801511593867,0.7654058648533787
2023-01-01 01:06:10,65.55,0.62452025,30.55,S4,Midterm 2,0.3146938377535101,0.08669890062903253,0.7654058648533787
2023-01-01 01:06:11,65.4,0.6216375000000001,30.57,S4,Midterm 2,0.3139625585023401,0.08629870342839999,0.7662558436039099
2023-01-01 01:06:12,65.2,0.623239,30.58,S4,Midterm 2,0.31298751950078,0.08652103135028465,0.7666808329791754
